,bachat,current_price,link,name,original_price,title
0,45% off,₹549,/shivay-creation-men-solid-casual-white-shirt/p/itmf8bcu2ygdxydt?pid=SHTF8B6UYSZEGN2C&lid=LSTSHTF8B6UYSZEGN2CKKA5PB&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_EXYpW3wCkt15bS6k%2Bren6wLVQmDyI3O95zQPzHtDrxUF020ay6VoPFbT9JFh9ESr1IPc2BA2HF79pX6qtST0OQ%3D%3D&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,shivay creation,₹999,Men Solid Casual Spread Shirt
1,51% off,₹587,/5th-anfold-men-solid-formal-dark-blue-shirt/p/itmf6sxywydkyd5f?pid=SHTEYDDQ4HYMFCPG&lid=LSTSHTEYDDQ4HYMFCPGIMDAZJ&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_EXYpW3wCkt15bS6k%2Bren6wLVQmDyI3O95zQPzHtDrxU4K3R3n9Yi%2BuxTJi6cxYDTB0UWdpXMIqS0vVc4ASJGEg%3D%3D&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,5th Anfold,"₹1,199",Men Solid Formal Slim Shirt
2,40% off,₹599,/shopybucket-men-solid-party-black-white-shirt/p/itmf7aymrw3nakhy?pid=SHTF7ANNSDX6FFUA&lid=LSTSHTF7ANNSDX6FFUAMXV7SM&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=52ce7b1e-ab61-42a9-91fb-7f63381664cd.SHTF7ANNSDX6FFUA.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,ShopyBucket,₹999,Men Solid Party Shirt
3,62% off,₹566,/fubar-men-striped-party-maroon-shirt/p/itmfd6vhj94hzgbk?pid=SHTFD6STM98YVN3S&lid=LSTSHTFD6STM98YVN3S0NMWQB&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=eac19e38-be77-4123-87e4-8cce931c9fb7.SHTFD6STM98YVN3S.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,FUBAR,"₹1,499",Men Striped Party Mandarin Shirt
4,62% off,₹566,/fubar-men-striped-party-light-green-shirt/p/itmfd6vhm8jahb8s?pid=SHTFD6ST9J3DPYYR&lid=LSTSHTFD6ST9J3DPYYRAQIX30&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=3928baca-0c6a-496e-860f-62d5d90fe352.SHTFD6ST9J3DPYYR.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,FUBAR,"₹1,499",Men Striped Party Mandarin Shirt
5,54% off,₹459,/try-men-solid-casual-black-shirt/p/itmfbvfgmxnuwqrh?pid=SHTFBTYF6C7HXA7N&lid=LSTSHTFBTYF6C7HXA7NPVDQQA&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=2d1b882f-1a1b-49e8-b9ee-be5327186ab8.SHTFBTYF6C7HXA7N.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Try This,₹999,Men Solid Casual Shirt
6,59% off,₹440,/base-41-men-military-camouflage-casual-multicolor-shirt/p/itmfeqpq5m4q5tn7?pid=SHTFEN8GFVGHJZUE&lid=LSTSHTFEN8GFVGHJZUECE6GPJ&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=e92c5afa-5257-4382-9e11-cf2564b94c9c.SHTFEN8GFVGHJZUE.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,BASE 41,"₹1,099",Men Military Camouflage Casual Spread Shirt
7,40% off,₹599,/n-t-fashion-men-solid-casual-gold-shirt/p/itmf3x95yeskmnjh?pid=SHTF26GUWGGG9GYG&lid=LSTSHTF26GUWGGG9GYGI7ZKE3&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=60f0989c-c7e7-403a-b51f-9ab802382888.SHTF26GUWGGG9GYG.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,n t fashion,₹999,Men Solid Casual Cut Away Shirt
8,50% off,₹499,/try-men-solid-casual-black-shirt/p/itmfbrxhcrzwukfb?pid=SHTFBQTF49GGHP5F&lid=LSTSHTFBQTF49GGHP5FWL7TYB&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=95c0951d-26dc-4451-bc44-06aa82b600d4.SHTFBQTF49GGHP5F.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Try This,₹999,Men Solid Casual Shirt
9,71% off,₹547,/vero-lie-men-striped-casual-white-shirt/p/itm59e90221096dd?pid=SHTFKBYQH6HYCZHW&lid=LSTSHTFKBYQH6HYCZHWVPSXOI&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=dea063cf-5ef2-4f17-8c01-bff52c612bb1.SHTFKBYQH6HYCZHW.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,VERO LIE,"₹1,888",Men Striped Casual Spread Shirt
